,misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,oem_model,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
1442,430.0,2019.0,6.5,0,1,0,1,1,1,4G,3000.0,0,0,Sony Xperia 10 Plus,1080.0,2520.0,64.0,4.0,12.0,2.0,8.0,1.0
1285,130.0,2015.0,4.8,1,1,0,1,0,0,3G,2300.0,0,0,QMobile Noir S5,720.0,1280.0,8.0,1.0,8.0,1.0,8.0,1.0
212,319.086,2020.0,6.44,1,1,0,1,1,0,4G,4500.0,0,0,vivo V19,1080.0,2400.0,128.0,8.0,48.0,4.0,32.0,2.0
1667,200.0,2017.0,5.2,0,1,0,0,1,1,4G,3200.0,0,0,ZTE nubia Z17 miniS,1080.0,1920.0,64.0,6.0,13.0,1.0,16.0,2.0
1051,120.0,2016.0,5.0,0,1,0,1,1,0,4G,3020.0,0,0,Meizu M3s,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
1833,138.64008,2017.0,5.5,0,1,0,1,0,0,4G,3000.0,0,0,Asus Zenfone Go ZB552KL - Asus Zenfone 2 Laser ZE550KL - Samsung Galaxy On7 Pro - ZTE Blade X - ZTE Warp 7 - ZTE Blade S6 Plus,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
191,400.0,2020.0,6.53,0,1,0,1,1,1,5G,4500.0,0,0,TCL 10 5G,1080.0,2340.0,128.0,6.0,64.0,4.0,16.0,1.0
433,100.0,2015.0,5.0,0,1,0,1,0,0,4G,3140.0,0,0,Allview P6 Pro,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
153,159.99,2019.0,6.5,0,1,1,1,1,1,4G,5000.0,0,0,Oppo A5 (2020),720.0,1600.0,64.0,3.0,12.0,4.0,8.0,1.0
465,130.0,2017.0,5.0,0,1,0,1,0,0,4G,2400.0,0,0,Archos 50 Graphite,720.0,1280.0,16.0,1.0,13.0,2.0,5.0,1.0
38,899.0,2020.0,6.58,1,0,0,0,1,1,5G,4200.0,1,1,Huawei P40 Pro,1200.0,2640.0,128.0,8.0,50.0,4.0,32.0,2.0
547,60.0,2017.0,5.0,0,1,0,1,0,0,3G,2800.0,0,0,Blackview A7,720.0,1280.0,8.0,1.0,5.0,2.0,2.0,1.0
317,134.99,2019.0,5.7,0,1,0,1,0,0,4G,3000.0,0,0,Samsung Galaxy A01,720.0,1520.0,16.0,2.0,13.0,2.0,5.0,1.0
22,180.0,2019.0,6.59,0,1,0,1,1,0,4G,4000.0,0,0,Honor 9X (China),1080.0,2340.0,64.0,4.0,48.0,2.0,16.0,1.0
1328,200.0,2018.0,5.5,0,1,0,1,1,1,4G,3300.0,0,0,Samsung Galaxy J7 (2018),720.0,1280.0,16.0,2.0,8.0,1.0,5.0,1.0
113,229.99,2020.0,6.4,0,1,1,1,0,0,4G,5000.0,0,1,Motorola Moto G8 Power,1080.0,2300.0,64.0,4.0,16.0,4.0,16.0,1.0
896,200.0,2016.0,5.0,0,1,1,1,0,0,4G,3000.0,0,0,Lenovo K6,1080.0,1920.0,16.0,2.0,13.0,1.0,8.0,1.0
1570,350.0,2014.0,5.0,0,0,1,1,0,0,3G,2350.0,0,0,Wiko Highway,1080.0,1920.0,16.0,2.0,16.0,1.0,8.0,1.0
1232,220.0,2015.0,5.0,0,1,0,1,0,0,4G,2420.0,0,0,Oppo Mirror 5,540.0,960.0,16.0,2.0,8.0,1.0,5.0,1.0
1767,170.0,2015.0,5.0,0,1,0,1,0,0,4G,2470.0,0,1,Motorola Moto G Dual SIM (3rd gen) - Motorola Moto G (3rd gen),720.0,1280.0,8.0,1.0,13.0,1.0,5.0,1.0
380,200.0,2014.0,5.0,0,1,1,1,0,0,3G,3500.0,0,0,Acer Liquid E700,720.0,1280.0,4.0,1.0,8.0,1.0,2.0,1.0
559,212.1336,2018.0,6.0,0,1,0,1,0,0,4G,3000.0,0,0,BLU Vivo XL3 Plus,720.0,1440.0,32.0,3.0,13.0,1.0,16.0,1.0
1201,330.0,2018.0,6.2,0,1,0,1,1,0,4G,3400.0,0,0,Oppo A3,1080.0,2280.0,128.0,4.0,16.0,1.0,8.0,1.0
520,160.0,2015.0,7.0,0,1,0,1,0,0,3G,3950.0,0,0,Asus Fonepad 7 FE171CG,600.0,1024.0,8.0,1.0,5.0,1.0,2.0,1.0
391,84.85343999999999,2017.0,5.2,0,1,0,1,1,0,4G,2800.0,0,0,alcatel Pulsemix,720.0,1280.0,16.0,2.0,8.0,1.0,2.0,1.0
1316,250.0,2019.0,5.9,1,1,0,1,1,1,4G,3100.0,0,0,Samsung Galaxy A40,1080.0,2340.0,64.0,4.0,16.0,2.0,25.0,1.0
1195,460.0,2018.0,6.4,1,0,0,1,1,0,4G,3500.0,0,0,Oppo R17,1080.0,2340.0,128.0,6.0,16.0,2.0,25.0,1.0
1462,250.0,2016.0,4.6,0,1,1,1,1,1,4G,2700.0,0,0,Sony Xperia X Compact,720.0,1280.0,32.0,3.0,23.0,1.0,5.0,1.0
573,190.0,2014.0,4.5,0,0,0,1,0,0,3G,3000.0,0,0,BLU Life Pure Mini,720.0,1280.0,16.0,1.0,8.0,1.0,2.0,1.0
1721,170.0,2014.0,5.0,0,1,0,1,0,0,3G,2300.0,0,0,ZTE Blade Vec 3G,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
1020,90.0,2018.0,5.45,0,1,0,1,0,0,4G,3000.0,0,0,Meizu C9,720.0,1440.0,16.0,2.0,13.0,1.0,8.0,1.0
774,800.0,2018.0,7.2,1,0,1,1,1,1,4G,5000.0,0,1,Huawei Mate 20 X,1080.0,2244.0,128.0,6.0,40.0,3.0,24.0,1.0
1069,64.98,2017.0,5.2,0,1,0,1,0,0,4G,5000.0,0,0,Micromax Bharat 5,720.0,1280.0,16.0,1.0,5.0,1.0,5.0,1.0
1800,275.0,2014.0,5.0,0,1,1,1,1,1,4G,2600.0,0,0,HTC One (M8) dual sim - HTC One (M8),1080.0,1920.0,16.0,2.0,4.0,1.0,5.0,1.0
1792,200.0,2016.0,5.0,0,1,0,1,1,1,4G,2300.0,0,0,Sony Xperia XA Dual - Sony Xperia XA,720.0,1280.0,16.0,2.0,13.0,1.0,8.0,1.0
699,400.0,2014.0,7.0,0,1,1,1,0,0,4G,5000.0,0,0,HP Slate7 VoiceTab Ultra,1200.0,1920.0,16.0,2.0,13.0,1.0,5.0,1.0
509,270.0,2015.0,6.0,0,1,1,1,1,0,4G,3000.0,0,0,Asus Zenfone 2 Laser ZE601KL,1080.0,1920.0,16.0,2.0,13.0,1.0,5.0,1.0
106,329.99,2020.0,6.4,0,1,1,1,1,1,4G,4000.0,0,1,Motorola Moto G Pro,1080.0,2300.0,128.0,4.0,48.0,3.0,16.0,1.0
1559,230.0,2017.0,5.5,0,1,0,1,0,1,4G,3000.0,0,0,Vodafone Smart V8,1080.0,1920.0,32.0,3.0,16.0,1.0,8.0,1.0
1536,160.0,2017.0,5.5,0,1,0,1,0,0,4G,3000.0,0,0,vivo V5 Lite (vivo 1609),720.0,1280.0,32.0,3.0,13.0,1.0,16.0,1.0
1740,80.0,2014.0,5.0,0,1,0,1,0,0,3G,1905.0,0,0,Microsoft Lumia 535 Dual SIM - Microsoft Lumia 535,540.0,960.0,8.0,1.0,5.0,1.0,5.0,1.0
1532,350.0,2017.0,5.5,1,0,0,1,1,0,4G,3320.0,0,0,vivo X9s,1080.0,1920.0,64.0,4.0,16.0,1.0,20.0,2.0
1796,180.0,2014.0,5.0,0,1,1,1,0,0,3G,2070.0,0,0,Motorola Moto G Dual SIM (2nd gen) - Motorola Moto G (2nd gen),720.0,1280.0,8.0,1.0,8.0,1.0,2.0,1.0
208,307.57250664000003,2020.0,6.53,0,0,1,1,1,0,5G,4500.0,0,0,vivo Y70s,1080.0,2340.0,128.0,8.0,48.0,3.0,16.0,1.0
1287,180.0,2015.0,5.5,0,1,0,1,1,0,4G,2820.0,0,0,QMobile Noir Z8 Plus,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
1820,305.0,2015.0,5.4,1,1,0,1,1,1,4G,3760.0,1,0,Motorola Moto X Force - Motorola Droid Turbo 2,1440.0,2560.0,32.0,3.0,21.0,1.0,5.0,1.0
930,160.0,2014.0,6.0,0,1,0,1,1,0,4G,3300.0,0,0,Lenovo Golden Warrior Note 8,720.0,1280.0,8.0,1.0,13.0,1.0,5.0,1.0
1867,285.0,2014.0,5.7,0,1,0,1,1,1,4G,3200.0,0,0,LG G Vista - LG G Vista (CDMA),720.0,1280.0,8.0,1.5,8.0,1.0,1.3,1.0
1828,140.0,2015.0,5.5,0,1,0,1,0,0,3G,2600.0,0,0,verykool s5518Q Maverick - verykool s5518 Maverick,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
631,360.0,2017.0,6.01,1,1,0,1,0,1,4G,4000.0,0,0,Gionee M7,1080.0,2160.0,64.0,6.0,16.0,2.0,8.0,1.0
366,77.83,2020.0,5.5,0,1,0,1,0,0,4G,3000.0,0,0,alcatel 1B (2020),720.0,1440.0,16.0,2.0,13.0,1.0,5.0,1.0
486,250.0,2017.0,5.5,0,1,0,1,0,0,4G,5000.0,0,0,Asus Zenfone 4 Max Pro ZC554KL,720.0,1280.0,32.0,2.0,16.0,1.0,16.0,1.0
1754,125.0,2015.0,5.0,0,1,0,1,0,0,3G,2110.0,0,0,Asus Zenfone 5 A501CG (2015) - Asus Zenfone 5 A500CG (2014),720.0,1280.0,8.0,2.0,8.0,1.0,2.0,1.0
1564,200.0,2018.0,6.0,0,1,0,1,0,1,4G,3000.0,0,0,Wiko View2,720.0,1528.0,32.0,3.0,13.0,1.0,16.0,1.0
764,200.0,2019.0,6.21,0,1,0,1,1,0,4G,3400.0,0,0,Huawei Enjoy 9s,1080.0,2340.0,64.0,4.0,24.0,3.0,8.0,1.0
1153,130.0,2019.0,6.26,0,1,0,1,0,0,4G,4000.0,0,0,Nokia 3.2,720.0,1520.0,16.0,2.0,13.0,1.0,5.0,1.0
775,880.0,2018.0,6.39,1,0,1,0,1,1,4G,4200.0,1,1,Huawei Mate 20 Pro,1440.0,3120.0,128.0,6.0,40.0,3.0,24.0,1.0
358,91.2,2019.0,6.22,0,1,0,1,0,0,4G,4000.0,0,0,Coolpad Cool 5,720.0,1520.0,64.0,4.0,13.0,2.0,16.0,1.0
258,890.9505133199999,2020.0,6.67,1,0,1,0,1,1,5G,4500.0,1,0,Xiaomi Mi 10 Pro 5G,1080.0,2340.0,256.0,8.0,108.0,4.0,20.0,1.0
335,182.3886,2019.0,6.3,0,1,0,0,1,1,4G,3500.0,0,0,Samsung Galaxy M40,1080.0,2340.0,64.0,4.0,32.0,3.0,16.0,1.0
250,260.0,2020.0,6.67,0,0,0,1,1,1,5G,4500.0,0,0,Xiaomi Redmi K30 5G Racing,1080.0,2400.0,128.0,6.0,64.0,4.0,20.0,2.0
779,350.0,2018.0,6.21,0,1,0,1,1,0,4G,3400.0,0,0,Huawei P Smart+ 2019,1080.0,2340.0,64.0,3.0,24.0,3.0,8.0,1.0
1788,170.0,2016.0,5.0,0,1,0,1,0,1,4G,2200.0,0,0,HTC Desire 650 - Huawei P8lite - ZTE Blade D6,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
1000,140.0,2015.0,5.0,0,1,0,1,0,0,4G,2540.0,0,0,LG Magna,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
1309,70.0,2019.0,5.0,0,1,0,1,0,0,4G,2600.0,0,0,Samsung Galaxy A2 Core,540.0,960.0,8.0,1.0,5.0,1.0,5.0,1.0
1694,210.0,2016.0,6.0,0,1,0,1,0,0,4G,3400.0,0,0,ZTE Grand X Max 2,1080.0,1920.0,16.0,2.0,13.0,2.0,5.0,1.0
845,200.0,2014.0,5.0,0,1,0,1,0,1,3G,2300.0,0,0,Karbonn Titanium X,1080.0,1920.0,16.0,1.0,13.0,1.0,5.0,1.0
666,210.0,2018.0,6.21,0,1,0,1,1,1,4G,3400.0,0,0,Honor 10 Lite,1080.0,2340.0,32.0,3.0,13.0,2.0,24.0,1.0
455,300.0,2019.0,6.39,1,1,0,1,1,1,4G,3400.0,1,0,Archos Diamond,1080.0,2340.0,128.0,4.0,16.0,2.0,8.0,1.0
247,200.0,2020.0,6.57,1,1,0,1,1,0,5G,4520.0,0,1,Xiaomi Redmi 10X 5G,1080.0,2400.0,64.0,6.0,48.0,3.0,16.0,1.0
1510,500.0,2018.0,6.41,1,0,0,1,1,0,4G,3400.0,0,0,vivo X23,1080.0,2340.0,128.0,8.0,12.0,2.0,12.0,1.0
160,880.0,2019.0,6.6,1,1,1,0,1,1,5G,4065.0,0,0,Oppo Reno 5G,1080.0,2340.0,256.0,8.0,48.0,3.0,16.0,1.0
846,470.936592,2018.0,5.0,0,1,1,1,1,1,4G,3240.0,1,1,Kyocera DuraForce Pro 2,1080.0,1920.0,64.0,4.0,13.0,1.0,5.0,1.0
1272,130.0,2015.0,4.7,0,1,0,1,0,0,3G,1980.0,0,0,Panasonic Eluga S mini,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
1082,180.0,2016.0,5.5,0,1,0,1,0,0,4G,3000.0,0,0,Micromax Canvas 6 Pro E484,1080.0,1920.0,16.0,4.0,13.0,1.0,5.0,1.0
1059,130.0,2014.0,5.5,0,0,0,1,1,0,4G,3140.0,0,0,Meizu M1 Note,1080.0,1920.0,16.0,2.0,13.0,1.0,5.0,1.0
1087,60.0,2015.0,5.0,0,1,0,1,0,0,4G,2000.0,0,0,Micromax Canvas Xpress 4G Q413,720.0,1280.0,16.0,2.0,8.0,1.0,2.0,1.0
1273,220.0,2015.0,5.0,0,1,0,1,0,0,4G,2500.0,0,0,Panasonic Eluga U2,1080.0,1920.0,16.0,2.0,13.0,1.0,5.0,1.0
898,250.0,2016.0,6.4,0,1,0,1,1,0,4G,4050.0,0,0,Lenovo Phab2 Plus,1080.0,1920.0,32.0,3.0,13.0,1.0,8.0,1.0
541,90.0,2014.0,5.0,0,1,0,1,0,0,3G,2500.0,0,0,BlackBerry Z3,540.0,960.0,8.0,1.5,5.0,1.0,1.1,1.0
236,160.0,2019.0,6.26,0,1,0,1,1,0,4G,3260.0,0,0,vivo Z3x,1080.0,2280.0,64.0,4.0,13.0,2.0,16.0,1.0
1172,220.0,2014.0,4.7,1,1,0,1,0,1,4G,2200.0,1,0,Nokia Lumia 735,720.0,1280.0,8.0,1.0,6.7,1.0,5.0,1.0
146,1028.83735332,2020.0,6.7,1,0,1,0,1,1,5G,4200.0,0,1,Oppo Find X2,1440.0,3168.0,128.0,8.0,48.0,3.0,32.0,1.0
346,80.0,2019.0,6.0,0,1,0,1,0,0,3G,2800.0,0,0,BLU J6,720.0,1440.0,32.0,1.0,8.0,1.0,8.0,1.0
1194,600.0,2018.0,6.4,1,1,0,0,1,1,4G,3700.0,0,0,Oppo RX17 Pro,1080.0,2340.0,128.0,6.0,12.0,3.0,25.0,1.0
1108,170.0,2015.0,5.0,0,1,0,1,0,0,3G,2500.0,0,0,Microsoft Lumia 640 Dual SIM,720.0,1280.0,8.0,1.0,8.0,1.0,1.0,1.0
1113,220.0,2018.0,5.9,0,1,0,1,1,1,4G,3000.0,0,1,Motorola One (P30 Play),720.0,1520.0,64.0,4.0,13.0,2.0,8.0,1.0
283,90.0,2019.0,6.0,0,1,0,1,1,0,4G,4000.0,0,0,ZTE Blade Max View,1080.0,2160.0,32.0,3.0,16.0,2.0,8.0,1.0
769,180.0,2019.0,6.26,0,1,0,1,0,1,4G,4000.0,0,0,Huawei Y7 Pro (2019),720.0,1520.0,32.0,3.0,13.0,2.0,16.0,1.0
900,350.0,2016.0,6.4,0,1,0,1,1,0,4G,4050.0,0,0,Lenovo Phab2 Pro,1440.0,2560.0,64.0,4.0,16.0,1.0,8.0,1.0
684,400.0,2016.0,6.6,1,1,0,1,1,0,4G,4500.0,0,0,Honor Note 8,1440.0,2560.0,32.0,4.0,13.0,1.0,5.0,1.0
577,390.0,2018.0,5.65,0,1,0,1,1,1,4G,3100.0,0,0,BQ Aquaris X2 Pro,1080.0,2160.0,64.0,4.0,12.0,2.0,8.0,1.0
1469,130.0,2015.0,4.7,0,1,0,1,1,1,4G,2300.0,0,0,Sony Xperia E4g,540.0,960.0,8.0,1.0,5.0,1.0,2.0,1.0
327,264.7427328,2019.0,6.4,1,1,0,1,1,1,4G,4000.0,0,0,Samsung Galaxy A50s,1080.0,2340.0,64.0,4.0,48.0,3.0,32.0,1.0
110,179.89,2020.0,6.4,0,1,0,1,0,0,4G,4000.0,0,0,Motorola Moto G8,720.0,1560.0,64.0,4.0,16.0,3.0,8.0,1.0
926,110.0,2015.0,7.0,0,1,0,1,0,0,3G,3450.0,0,0,Lenovo Tab 2 A7-30,600.0,1024.0,16.0,1.0,2.0,1.0,0.3,1.0
1246,114.0,2019.0,5.5,0,1,0,1,0,0,4G,4000.0,0,0,Panasonic Eluga Ray 800,1080.0,1920.0,64.0,4.0,13.0,1.0,8.0,1.0
75,400.0,2019.0,6.39,1,1,0,1,1,1,5G,4000.0,0,0,Lenovo Z6 Pro 5G,1080.0,2340.0,128.0,6.0,48.0,4.0,32.0,1.0
844,220.0,2014.0,5.0,0,1,0,1,0,0,3G,2000.0,0,0,Karbonn Titanium Octane Plus,1080.0,1920.0,16.0,2.0,16.0,1.0,8.0,1.0
1243,270.0,2014.0,5.0,0,1,0,1,0,0,4G,2410.0,0,0,Oppo R3,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
766,150.0,2019.0,6.09,0,1,0,1,0,0,4G,3020.0,0,0,Huawei Y6 (2019),720.0,1560.0,32.0,2.0,13.0,1.0,8.0,1.0
1744,150.0,2015.0,5.0,0,1,0,1,0,0,3G,2000.0,0,0,Gigabyte GSmart Mika M2 - HTC Desire 626G+ - Karbonn Titanium S19 - ZTE Blade L3 Plus,720.0,1280.0,8.0,1.0,13.0,1.0,5.0,1.0
11,618.35883732,2020.0,6.57,1,0,1,0,1,1,5G,4000.0,0,1,Honor 30 Pro,1080.0,2340.0,128.0,8.0,40.0,4.0,32.0,2.0
627,320.0,2017.0,5.99,0,1,0,1,0,0,4G,3410.0,0,0,Gionee S11,1080.0,2160.0,64.0,4.0,16.0,2.0,16.0,2.0
917,160.0,2015.0,5.0,0,1,1,1,0,0,4G,2300.0,0,0,Lenovo A6010 Plus,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
1349,200.0,2017.0,5.5,1,1,0,1,1,1,4G,3600.0,0,0,Samsung Galaxy J7 (2017),1080.0,1920.0,16.0,3.0,13.0,1.0,13.0,1.0
1137,100.0,2016.0,5.0,0,1,0,1,0,0,4G,2800.0,0,0,Motorola Moto E3,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
1884,122.971771,2020.0,6.09,0,1,0,1,0,1,4G,3020.0,0,0,Honor 8A 2020 - Honor 8A Prime,720.0,1560.0,64.0,3.0,13.0,1.0,8.0,1.0
652,220.0,2015.0,5.0,1,1,0,1,0,0,4G,5000.0,0,0,Gionee Marathon M4,720.0,1280.0,16.0,2.0,8.0,1.0,5.0,1.0
1212,180.0,2017.0,5.2,0,1,0,1,0,0,4G,3000.0,0,0,Oppo A71,720.0,1280.0,16.0,3.0,13.0,1.0,5.0,1.0
531,300.0,2018.0,5.99,0,1,0,1,1,0,4G,4000.0,0,0,BlackBerry Evolve,1080.0,2160.0,64.0,4.0,13.0,2.0,16.0,1.0
1164,230.0,2018.0,5.5,0,1,0,1,1,1,4G,3000.0,0,0,Nokia 6.1,1080.0,1920.0,32.0,3.0,16.0,1.0,8.0,1.0
1473,200.0,2014.0,4.8,0,1,0,1,1,1,4G,2300.0,0,1,Sony Xperia M2 Aqua,540.0,960.0,8.0,1.0,8.0,1.0,0.3,1.0
273,170.0,2019.0,6.01,1,1,0,1,1,0,4G,4030.0,0,0,Xiaomi Mi CC9e,720.0,1560.0,64.0,4.0,48.0,3.0,32.0,1.0
551,159.1002,2018.0,6.2,0,1,0,1,0,0,4G,4000.0,0,0,BLU Vivo XL4,720.0,1520.0,32.0,3.0,13.0,2.0,13.0,1.0
1415,440.0,2014.0,5.0,1,1,0,1,1,0,4G,2600.0,0,0,Samsung ATIV SE,1080.0,1920.0,16.0,2.0,13.0,1.0,2.0,1.0
419,160.0,2014.0,4.5,0,1,0,1,0,0,3G,1700.0,0,0,alcatel Idol 2 Mini,540.0,960.0,4.0,1.0,8.0,1.0,0.3,1.0
1503,200.0,2018.0,6.22,0,1,0,1,0,0,4G,4030.0,0,0,vivo Y91,720.0,1520.0,16.0,2.0,13.0,2.0,8.0,1.0
658,550.0,2017.0,5.0,1,0,1,0,1,1,4G,2700.0,0,1,Google Pixel 2,1080.0,1920.0,64.0,4.0,12.2,1.0,8.0,1.0
1216,260.0,2017.0,5.5,0,1,0,1,1,0,4G,3200.0,0,0,Oppo F3,1080.0,1920.0,64.0,4.0,13.0,1.0,16.0,2.0
277,95.46012,2019.0,5.45,0,1,0,1,0,0,4G,2000.0,0,0,Yezz Max 1 Plus,720.0,1440.0,16.0,2.0,8.0,2.0,8.0,1.0
337,130.0,2020.0,6.21,0,1,0,1,0,0,4G,3400.0,0,0,Allview Soul X7 Style,720.0,1520.0,64.0,4.0,13.0,2.0,5.0,1.0
431,250.0,2015.0,5.5,1,1,0,1,0,0,4G,3150.0,0,0,Allview V2 Viper X,720.0,1280.0,16.0,1.0,13.0,1.0,5.0,1.0
857,100.0,2016.0,5.0,0,1,0,1,0,0,3G,2500.0,0,0,Lava X3,720.0,1280.0,8.0,2.0,8.0,1.0,5.0,1.0
681,320.0,2016.0,5.7,0,1,0,1,1,1,4G,3500.0,0,0,Honor V8,1080.0,1920.0,32.0,4.0,12.0,1.0,8.0,1.0
1295,160.0,2014.0,5.0,0,0,1,1,0,0,3G,2000.0,0,0,QMobile Noir i12,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
1669,137.88684,2017.0,6.0,0,1,0,1,0,0,4G,4080.0,0,0,ZTE Blade Z Max,1080.0,1920.0,32.0,2.0,16.0,2.0,8.0,1.0
1852,250.0,2015.0,5.5,0,1,0,1,1,1,4G,3630.0,0,1,Motorola Droid Maxx 2 - Motorola Moto X Play Dual SIM - Motorola Moto X Play,1080.0,1920.0,16.0,2.0,21.0,1.0,5.0,1.0
1021,200.0,2018.0,6.0,0,0,0,1,0,0,4G,3600.0,0,0,Meizu Note 8,1080.0,2160.0,64.0,4.0,12.0,2.0,8.0,1.0
453,420.0,2014.0,5.5,0,0,0,1,1,1,4G,2915.0,0,0,Apple iPhone 6 Plus,1080.0,1920.0,16.0,1.0,8.0,1.0,1.2,1.0
1235,270.0,2015.0,4.7,0,1,0,1,0,0,4G,2000.0,0,0,Oppo Mirror 3,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
